排名,车型,销量,厂商,售价（万元）
1,宏光MINIEV,1,上汽通用五菱,3.28 - 6.98
2,轩逸,2,东风日产,9.98 - 17.49
3,宋PLUS新能源,3,比亚迪,15.28 - 21.68
4,秦PLUS,4,比亚迪,11.18 - 17.58
5,雷凌,5,广汽丰田,11.38 - 15.28
6,凯美瑞,6,广汽丰田,17.98 - 26.98
7,哈弗H6,7,长城汽车,9.89 - 15.70
8,汉,8,比亚迪,21.48 - 32.98
9,速腾,9,一汽-大众,13.35 - 16.59
10,海豚,10,比亚迪,10.28 - 13.08
11,长安CS75 PLUS,11,长安汽车,11.79 - 15.49
12,奔驰C级,12,北京奔驰,32.52 - 37.22
13,威兰达,13,广汽丰田,17.18 - 24.38
14,博越,14,吉利汽车,9.18 - 14.28
15,唐新能源,15,比亚迪,20.58 - 31.48
16,元PLUS,16,比亚迪,13.78 - 16.58
17,缤越,17,吉利汽车,7.58 - 11.98
18,宝马3系,18,华晨宝马,29.39 - 40.99
19,亚洲龙,19,一汽丰田,19.98 - 28.98
20,瑞虎8,20,奇瑞汽车,9.58 - 16.89
21,卡罗拉,21,一汽丰田,10.98 - 15.98
22,宝马5系,22,华晨宝马,42.89 - 55.19
23,朗逸,23,上汽大众,9.99 - 15.89
24,桑塔纳,24,上汽大众,8.79 - 11.28
25,宝骏530,25,上汽通用五菱,7.08 - 9.98
26,传祺M8,26,广汽乘用车,17.98 - 36.98
27,帝豪,27,吉利汽车,6.28 - 9.18
28,宝马X3,28,华晨宝马,39.28 - 47.98
29,雅阁,29,广汽本田,16.98 - 25.98
30,长安欧尚X5,30,长安汽车,6.99 - 10.99
31,零跑T03,31,零跑汽车,7.39 - 8.99
32,QQ冰淇淋,32,奇瑞新能源,3.99 - 4.99
33,星越L,33,吉利汽车,13.72 - 18.52
34,奔驰GLC,34,北京奔驰,40.25 - 47.12
35,长安CS55PLUS,35,长安汽车,9.29 - 12.19
36,奔奔E-Star,36,长安汽车,4.98 - 7.48
37,捷途X70,37,奇瑞汽车,8.69 - 15.59
38,瑞虎7,38,奇瑞汽车,8.39 - 14.98
39,小蚂蚁,39,奇瑞新能源,7.39 - 9.40
40,高尔夫,40,一汽-大众,12.98 - 22.98
41,思域,41,东风本田,11.99 - 16.99
42,昂科威,42,上汽通用别克,20.99 - 30.99
43,哪吒V,43,合众汽车,6.59 - 12.38
44,汉兰达,44,广汽丰田,25.88 - 34.88
45,T-ROC探歌,45,一汽-大众,15.89 - 20.49
46,逸动,46,长安汽车,7.29 - 10.39
47,长安UNI-V,47,长安汽车,10.89 - 13.19
48,AION Y,48,广汽埃安,13.76 - 18.98
49,本田CR-V,49,东风本田,16.98 - 27.68
50,探岳,50,一汽-大众,20.49 - 26.49
51,锋兰达,51,广汽丰田,12.58 - 16.98
52,天籁,52,东风日产,17.98 - 26.98
53,元pro,53,比亚迪,9.28 - 11.28
54,坦克300,54,长城汽车,19.58 - 30.80
55,科鲁泽,55,上汽通用雪佛兰,8.99 - 12.29
56,逍客,56,东风日产,15.49 - 18.89
57,赛那SIENNA,57,广汽丰田,30.98 - 40.58
58,YARiS L 致炫,58,广汽丰田,8.58 - 10.38
59,瑞虎5x,59,奇瑞汽车,6.99 - 10.19
60,星瑞,60,吉利汽车,11.37 - 15.27
61,东风风神E70,61,东风乘用车,13.28 - 13.98
62,东风EV新能源EX1,62,东风汽车,4.57 - 8.17
63,理想ONE,63,理想,33.80 - 33.80
64,哈弗大狗,64,长城汽车,11.99 - 16.79
65,艾瑞泽5,65,奇瑞汽车,5.99 - 8.58
66,奕炫,66,东风乘用车,6.99 - 9.89
67,皓影,67,广汽本田,16.98 - 25.28
68,宝来,68,一汽-大众,9.88 - 15.70
69,帕萨特,69,上汽大众,17.99 - 25.09
70,五菱宏光V,70,上汽通用五菱,4.29 - 5.45
71,伊兰特,71,北京现代,9.98 - 14.18
72,宝骏510,72,上汽通用五菱,5.38 - 8.08
73,型格,73,广汽本田,12.99 - 16.69
74,小鹏P7,74,小鹏汽车,23.99 - 42.99
75,名爵ZS,75,上汽名爵,7.88 - 11.28
76,小鹏P5,76,小鹏汽车,17.79 - 24.99
77,名爵5,77,上汽名爵,6.79 - 9.99
78,缤智,78,广汽本田,12.78 - 17.68
79,五菱荣光,79,上汽通用五菱,5.09 - 5.76
80,沃尔沃XC60,80,沃尔沃亚太,37.39 - 47.49
81,奔驰E级,81,北京奔驰,43.68 - 54.88
82,Aion S,82,广汽埃安,13.98 - 17.98
83,问界M5,83,金康赛力斯,24.98 - 31.98
84,致胜,84,长安福特,0.00 - 0.00
85,秦新能源,85,比亚迪,12.99 - 20.99
86,思皓E10X,86,江汽集团,6.99 - 7.99
87,英朗,87,上汽通用别克,11.99 - 12.59
88,红旗HS5,88,一汽红旗,18.38 - 24.98
89,哪吒U,89,合众汽车,10.58 - 20.18
90,领克03,90,领克,13.68 - 25.68
91,北京现代ix35,91,北京现代,12.98 - 15.58
92,别克GL8,92,上汽通用别克,23.29 - 53.39
93,奥迪A6L,93,一汽-大众奥迪,41.98 - 65.60
94,传祺GS4,94,广汽乘用车,8.98 - 13.18
95,五菱宏光,95,上汽通用五菱,4.60 - 5.99
96,皇冠陆放,96,一汽丰田,27.58 - 35.08
97,飞度,97,广汽本田,8.18 - 10.88
98,长安UNI-T,98,长安汽车,11.59 - 14.99
99,奥迪Q5L,99,一汽-大众奥迪,39.68 - 48.70
100,影豹,100,广汽乘用车,9.83 - 13.68
